en|env|file|
|bin|file|
o|ocr.png|file|
oc|ocr.png|file|
confi|config|around|
op|opacity|around|
win|window|around|
con|config|around|
con|configuration|around|
con|configuration|around|
card_s|card_square|around|
colu|column_alt|around|
|cloud.rasi|file|
|drun.rasi|file|
sla|slate.rasi|file|
the|themes|file|
sw|switch|around|
swi|switch|around|
fun|functions|around|
extra|extract|around|
fun|function|around|
ges|gestures|around|
work|workspace|around|
pre|previous|around|
workspa|workspace|around|
tri|trick|around|
w|wallpaper|around|
lay|layout|around|
wall|wallpaper|around|
v|vertically|around|
lay|layout|around|
apos|apostrophe|around|
l|layout|around|
sen|send|around|
noti|notify|around|
bi|bindings|file|
sx|sxhkd|file|
sc|screen|around|
ro|rofi|file|
con|config|around|
pas|passmenu|around|
|picom.conf|file|
picom|picom|file|
pic|picom|file|
star|startup|around|
exec_a|exec_always|around|
back|background|around|
depend|dependency|around|
alac|alacritty|around|
short|shortcut|around|
Net|NetworkManager|around|
Net|NetworkManager|around|
dmenu|dmenu.sh|file|
dm|dman.sh|file|
dm|dmenu|file|
|Scripts|file|
con|config|around|
|Screenshots|file|
Pi|Pictures|file|
fla|flameshot|around|
Prin|Print|around|
Sc|Screenshots|file|
Pi|Pictures|file|
fla|flameshot|around|
fla|flameshot|around|
ca|cat|around|
bri|brightness.sh|file|
bas|basic|file|
Sc|Scripts|file|
con|config|around|
c|cat|around|
vol|volume|around|
ca|cat|around|
vol|volume|around|
pre|prev|around|
ne|next|around|
wor|worked|around|
sen|send|around|
noti|notify|around|
hi|highlighting|around|
Plu|Plugin|around|
Pu|Put|around|
sx|sxhkdrc|file|
sx|sxhkd|file|
poly|polybar|around|
don|down|around|
mod_ne|mod_next|around|
dy|dynamic|around|
fal|false|around|
expan|expand|around|
off|offset|buffer|
dy|dynamic|buffer|
li|list.rasi|file|
cn|consumer|clangd|ƒ
em|empty|clangd|
mu|mutex|clangd|
mu|mutex|clangd|
ful|full|clangd|
TRUE|TRUE|around|
while|while|clangd|
ie|item|around|
fu|full|clangd|
mute|mutex|clangd|
mu|mutex|clangd|
em|empty|clangd|
do|do|clangd|
emp|empty|clangd|
pro|producer|clangd|ƒ
se|semaphore|clangd|
s|semaphore|clangd|
sema|semaphore|clangd|
int|int|clangd|
type|typedef|clangd|
cou|count|around|
cou|count|around|
cou|count|around|
pro|producer|around|
ge|general_app.png|file|
|pomatez.png|file|
icon|icons|file|
con|configuration|around|
y|yellow|around|
y|yellow|around|
yel|yellow|around|
yel|yellow|around|
pacs|pacsyu|around|
depend|dependency|around|
ke|key-bindings.zsh|file|
com|completion.zsh|file|
fz|fzf|file|
sha|share|file|
usr|usr|file|
sou|source|around|
c|ctermfg|around|
t|tabs|around|
Nerd|Nerdtree|around|
Pain|Painless|around|
nnore|nnoremap|buffer|
ner|nerdtree|around|
Plu|Plugin|around|
ta|tabedit|around|
nno|nnoremap|around|
fz|fzf|around|
air|airblade|around|
Plu|Plugin|around|
col|color|around|
pad|padding|around|
col|color|around|
ci|children|around|
ba|background|around|
pa|padding|around|
colo|color|around|
bo|border|around|
sel|selected|around|
ele|element|around|
bore|border|around|
p|padding|around|
pa|padding|around|
se|selected|around|
ele|element|around|
se|selected|around|
col|color|around|
ba|background|around|
te|text|around|
ele|element|around|
colr|color|around|
te|text|around|
co|color|around|
b|background|around|
col|color|around|
te|text|around|
ba|background|around|
ba|background|around|
ba|background|around|
elemet|element|around|
ele|element|around|
padd|padding|around|
hor|horibox|around|
chil|children|around|
nort|north|around|
clo|cloud.rasi|file|
U|User Themes|file|
them|theme|around|
the|theme|around|
rof|rofi-dunst|file|
te|test.rasi|file|
the|theme.rasi|file|
clo|cloud.rasi|file|
Us|User Themes|file|
rofi-the|rofi-themes|file|
rof|rofi|file|
con|config|around|
loca|location|around|
ena|enabled|around|
Plu|Plugin|around|
te|test.rasi|file|
ho|home|around|
ho|home|around|
From|From|around|
|slate.rasi|file|
|sidetab-adapta.rasi|file|
|ribbon.rasi|file|
|rezlooks.rasi|file|
|oxide.rasi|file|
|onedark.rasi|file|
|merah.rasi|file|
mat|material.rasi|file|
|flamingo.rasi|file|
sola|solarized-darker.rasi|file|
|slate.rasi|file|
|sidetab.rasi|file|
|sidetab-adapta.rasi|file|
|ribbon.rasi|file|
|rezlooks.rasi|file|
|oxide.rasi|file|
|onedark.rasi|file|
|nord.rasi|file|
